antecedents;consequents;antecedent support;consequent support;support;confidence;lift;representativity;leverage;conviction;zhangs_metric;jaccard;certainty;kulczynski;complexidade
frozenset({'Alta_Renda', 'Internet'});frozenset({'TV', 'Celular_Net', 'Urbano'});0.2469385328736179;0.5390559980977292;0.19522054452502674;0.7905633124699084;1.4665699208611378;1.0;0.06210684721804974;2.2008751539103817;0.4224579988438936;0.33044878245119735;0.5456352904783078;0.5763579685419679;5
frozenset({'Alta_Renda', 'Internet'});frozenset({'Alta_Escol', 'Urbano'});0.2469385328736179;0.4687116078151627;0.16965878016882655;0.687048627828599;1.4658237952142588;1.0;0.0539158233941157;1.697670754719857;0.4219971091450781;0.3107352834434202;0.41095763285089054;0.5245085026350232;4
frozenset({'Alta_Renda'});frozenset({'Celular_Net', 'Alta_Escol', 'Internet'});0.2678635120675306;0.4552371893948401;0.17845678278444893;0.6662228140257435;1.4634630683652463;1.0;0.056515350409395454;1.632115175922108;0.4325549774222186;0.32765771665575205;0.3872981424641048;0.5291155856495915;4
frozenset({'Celular_Net', 'TV_Assinatura'});frozenset({'TV', 'Urbano', 'Internet'});0.12507430745452383;0.5931914556334958;0.10850869892600959;0.867553865652725;1.4625191536621598;1.0;0.034315688424709195;3.071501832585376;0.3614572914051765;0.17795398414142724;0.6744263703862844;0.5252387179679979;5
frozenset({'Alta_Renda', 'Urbano'});frozenset({'TV', 'Alta_Escol'});0.23152221297507233;0.49617564300717315;0.16787540126025444;0.7250941458404656;1.461365861181507;1.0;0.05299971836690423;1.8327159984757753;0.4108234065344509;0.2998725753928926;0.4543617228028371;0.5317164019937153;4
frozenset({'Alta_Renda'});frozenset({'Celular_Net', 'Alta_Escol'});0.2678635120675306;0.45713946023065033;0.17885308920857607;0.6677023228288208;1.460609684606817;1.0;0.05640210788653882;1.6336573411847881;0.4307317023672437;0.32747986358029163;0.3878765302919868;0.5294731813537256;3
frozenset({'TV', 'Alta_Escol', 'Alta_Renda'});frozenset({'Celular_Net', 'Urbano', 'Internet'});0.1848373162128958;0.5774580905956486;0.15566916339713865;0.8421955403087478;1.458453096466312;1.0;0.04893335970601573;2.6776297085080083;0.3856187593316381;0.25661462076174296;0.6265353656547207;0.5558860482409842;6
frozenset({'Alta_Renda'});frozenset({'TV', 'Alta_Escol', 'Internet'});0.2678635120675306;0.45690167637617407;0.17798121507549639;0.6644474034620507;1.4542459303979465;1.0;0.05559392737183211;1.6185192104821164;0.42663957339817665;0.32550554468362686;0.382151293896521;0.5269934128941791;4
frozenset({'Alta_Renda', 'Internet'});frozenset({'TV', 'Alta_Escol'});0.2469385328736179;0.49617564300717315;0.17798121507549639;0.7207510832932114;1.4526127863208946;1.0;0.05545632974368106;1.8042123956450025;0.413758120036164;0.3149368863955119;0.44574153108924736;0.5397285767903757;4
frozenset({'TV', 'Celular_Net', 'Alta_Renda', 'Urbano'});frozenset({'Alta_Escol'});0.1954186977370903;0.5489636587009076;0.15582768596678953;0.7974041776515921;1.4525627789981679;1.0;0.048549922678469665;2.2262864854312574;0.38723444853515576;0.264763315601643;0.5508215108235325;0.5406310521523915;5
frozenset({'Celular_Net', 'Urbano', 'Internet', 'TV', 'Alta_Renda'});frozenset({'Alta_Escol'});0.19522054452502674;0.5489636587009076;0.15566916339713865;0.7974015428339424;1.4525579793769035;1.0;0.048500179021096546;2.2262575323039373;0.3871362768870545;0.2645117845117845;0.550815669126515;0.540485351261037;6
frozenset({'TV', 'Alta_Escol', 'Alta_Renda'});frozenset({'Celular_Net', 'Urbano'});0.1848373162128958;0.5806681726310784;0.15582768596678953;0.8430531732418525;1.451867371035467;1.0;0.04849853932741452;2.671808255257719;0.3818033607152206;0.25559022360894434;0.6257216444959515;0.5557062208005604;5
frozenset({'TV', 'TV_Assinatura'});frozenset({'Celular_Net', 'Urbano', 'Internet'});0.12943367811992232;0.5774580905956486;0.10850869892600959;0.8383343539497857;1.4517665742375228;1.0;0.03376617430010748;2.613677795671614;0.3574501136790517;0.18133651235181136;0.617397369463041;0.5131209207124537;5
frozenset({'TV_Assinatura', 'Urbano', 'Internet'});frozenset({'TV', 'Celular_Net'});0.11263028573693179;0.6643680894067293;0.10850869892600959;0.9634060520760028;1.450108858985551;1.0;0.033680731181630216;9.171787402943036;0.3497939975687429;0.16231918425420913;0.8909699978785901;0.5633661136066008;5
frozenset({'Celular_Net', 'Alta_Renda', 'Urbano', 'Internet'});frozenset({'Alta_Escol'});0.203899655213411;0.5489636587009076;0.1621685887528237;0.7953352769679302;1.448794040119245;1.0;0.05023508801901601;2.2037815536408663;0.38911020249903366;0.2745387453874539;0.5462345175056481;0.5453719411117445;5
frozenset({'Celular_Net', 'Alta_Renda', 'Urbano'});frozenset({'Alta_Escol'});0.20421670035271272;0.5489636587009076;0.16240637260729995;0.7952648942363671;1.4486658299354787;1.0;0.05029882561384785;2.2030239494921546;0.38918846332580836;0.27490440732541754;0.5460784708080355;0.5455533249697573;4
frozenset({'TV_Assinatura'});frozenset({'Celular_Net', 'Urbano', 'Internet'});0.13161336345262156;0.5774580905956486;0.10997503269527999;0.8355916892502259;1.447017026618005;1.0;0.033973831139058025;2.570076339069325;0.35574376128592994;0.18356816828735859;0.6109064992356921;0.5130192335483166;4
frozenset({'TV_Assinatura', 'Internet'});frozenset({'TV', 'Celular_Net'});0.12828438948995363;0.6643680894067293;0.12317203661871359;0.9601482854494903;1.445205302239739;1.0;0.0379439818725644;8.42201933791021;0.353391385306279;0.18398153081157875;0.8812636305050169;0.5727727826674796;4
frozenset({'TV', 'TV_Assinatura'});frozenset({'Celular_Net', 'Urbano'});0.12943367811992232;0.5806681726310784;0.10858796021083501;0.838946723821188;1.44479543285422;1.0;0.03342994286002053;2.603683931914254;0.3536324393690735;0.1805244432731585;0.6159288046668591;0.5129759554131874;4
frozenset({'TV', 'Alta_Renda', 'Urbano', 'Internet'});frozenset({'Alta_Escol'});0.20485079063131614;0.5489636587009076;0.16201006618317282;0.7908686399690461;1.440657550703071;1.0;0.0495544266704319;2.156713088043485;0.3846731067238455;0.2737561106274693;0.5363314640487602;0.5429942391297728;5
frozenset({'TV_Assinatura', 'Internet'});frozenset({'Alta_Escol'});0.12828438948995363;0.5489636587009076;0.10141481393413387;0.7905468025949954;1.440071287170049;1.0;0.03099134612551667;2.15339916929965;0.3505615003644486;0.17611837577426015;0.5356179131780616;0.4876427342458084;3
frozenset({'TV_Assinatura'});frozenset({'Celular_Net', 'Urbano'});0.13161336345262156;0.5806681726310784;0.11005429398010541;0.8361939174947305;1.4400546765045408;1.0;0.033630602730241696;2.5599283064194642;0.3518961596212985;0.18274545933140296;0.6093640601214001;0.512862178512585;3
frozenset({'Alta_Renda', 'Urbano', 'Internet'});frozenset({'Alta_Escol'});0.21523401894344707;0.5489636587009076;0.16965878016882655;0.7882526238261831;1.435892178530615;1.0;0.051503125652731394;2.1300681474742365;0.38682726570718884;0.285361951739768;0.530531452157638;0.5486527340903945;4
frozenset({'Alta_Escol', 'Alta_Renda'});frozenset({'Celular_Net', 'Urbano', 'Internet'});0.1956564815915666;0.5774580905956486;0.1621685887528237;0.8288434271824996;1.4353308762676558;1.0;0.049185170480294985;2.468744860034656;0.3770733828487939;0.2654385054488843;0.594935865512663;0.5548376081763846;5
